Time (s),Location - X (cm),Location - Y (cm),Orientation - Pitch (°),Orientation - Roll (°),Orientation - Yaw (°),Gyroscope - Pitch (°/s),Gyroscope - Roll (°/s),Gyroscope - Yaw (°/s),Accelerometer - X (g),Accelerometer - Y (g),Accelerometer - Z (g),Accelerometer - Total (g),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s),Distance - X (cm),Distance - Y (cm),Distance - Total (cm)
23.82,-0.54,7.12,6.00,-1.00,179.00,-0.1,0.2,0.0,-0.03,-0.11,1.00,1.00,-0.00,0.00,0.00,6.18,88.79,89.71
23.95,-0.54,7.12,6.00,-1.00,179.00,0.1,0.3,0.0,-0.03,-0.11,0.98,0.99,-0.00,0.01,0.01,6.18,88.79,89.72
24.07,-0.54,7.12,6.00,-1.00,179.00,-0.0,0.2,0.0,-0.03,-0.11,1.00,1.00,-0.00,0.01,0.01,6.18,88.79,89.72
24.19,-0.54,7.12,6.00,-1.00,179.00,-0.0,0.5,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.01,0.01,6.18,88.79,89.72
24.25,-0.54,7.12,6.00,-1.00,179.00,-0.0,0.2,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.01,0.01,6.18,88.79,89.72
24.37,-0.54,7.12,6.00,-1.00,179.00,0.1,-0.0,0.0,-0.03,-0.11,0.99,1.00,0.00,0.02,0.02,6.18,88.79,89.72
24.49,-0.54,7.12,6.00,-1.00,179.00,-0.0,0.0,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.01,0.01,6.18,88.79,89.72
24.61,-0.54,7.12,6.00,-1.00,179.00,-0.0,0.2,0.0,-0.02,-0.11,0.99,1.00,-0.00,0.01,0.01,6.18,88.79,89.72
24.70,-0.54,7.12,6.00,-1.00,179.00,-0.2,0.0,0.0,-0.02,-0.11,0.99,1.00,-0.00,-0.00,0.00,6.18,88.79,89.72
24.82,-0.54,7.13,6.00,-1.00,179.00,-0.2,0.1,0.0,-0.02,-0.11,0.99,1.00,-0.00,-0.00,0.00,6.18,88.80,89.72
24.94,-0.54,7.13,6.00,-1.00,179.00,-0.1,0.1,0.0,-0.03,-0.11,1.00,1.00,-0.00,0.00,0.00,6.18,88.80,89.72
25.06,-0.54,7.13,6.00,-1.00,179.00,-0.2,0.1,0.0,-0.04,-0.11,0.99,1.00,-0.00,-0.00,0.00,6.18,88.80,89.72
25.16,-0.54,7.13,6.00,-1.00,179.00,0.1,0.1,0.0,-0.02,-0.11,0.99,0.99,-0.00,0.02,0.02,6.18,88.80,89.72
25.27,-0.54,7.13,6.00,-1.00,179.00,0.1,0.0,0.0,-0.02,-0.11,0.99,1.00,-0.00,0.01,0.01,6.18,88.80,89.72
25.39,-0.54,7.13,6.00,-1.00,179.00,-0.0,0.3,0.0,-0.03,-0.11,0.99,0.99,-0.00,0.00,0.01,6.18,88.80,89.72
25.51,-0.54,7.13,6.00,-1.00,179.00,0.0,0.4,0.0,-0.03,-0.11,0.99,0.99,-0.00,0.01,0.01,6.18,88.80,89.73
25.61,-0.54,7.13,6.00,-1.00,179.00,0.3,0.1,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.02,0.02,6.18,88.80,89.73
25.73,-0.54,7.13,6.00,-1.00,179.00,0.1,0.0,0.0,-0.03,-0.10,1.00,1.00,-0.00,0.01,0.01,6.18,88.80,89.73
25.83,-0.55,7.13,6.00,-1.00,179.00,-0.2,0.1,0.0,-0.02,-0.12,0.99,0.99,-0.00,-0.01,0.01,6.18,88.80,89.73
25.96,-0.55,7.13,6.00,-1.00,179.00,0.1,0.1,0.0,-0.03,-0.11,0.99,0.99,-0.00,0.02,0.02,6.18,88.80,89.73
26.06,-0.55,7.13,6.00,-1.00,179.00,0.0,0.3,0.0,-0.03,-0.11,1.00,1.00,-0.00,0.01,0.01,6.18,88.80,89.73
26.18,-0.55,7.13,6.00,-1.00,179.00,0.0,0.1,0.0,-0.02,-0.11,0.99,1.00,-0.00,0.01,0.01,6.18,88.80,89.73
26.28,-0.55,7.13,6.00,-1.00,179.00,0.2,0.1,0.0,-0.02,-0.11,0.99,0.99,-0.00,0.02,0.02,6.18,88.80,89.73
26.39,-0.55,7.14,6.00,-1.00,179.00,-0.1,0.1,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.00,0.00,6.18,88.81,89.73
26.51,-0.55,7.14,6.00,-1.00,179.00,-0.1,0.0,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.00,0.00,6.18,88.81,89.73
26.61,-0.55,7.14,6.00,-1.00,179.00,-0.2,-0.0,0.0,-0.02,-0.11,1.00,1.01,0.00,-0.01,0.01,6.18,88.81,89.73
26.73,-0.55,7.14,6.00,-1.00,179.00,-0.0,0.0,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.00,0.00,6.18,88.81,89.73
26.85,-0.55,7.14,6.00,-1.00,179.00,-0.0,-0.0,0.0,-0.04,-0.11,0.98,0.98,0.00,0.00,0.00,6.18,88.81,89.73
26.96,-0.55,7.14,6.00,-1.00,179.00,0.1,0.1,0.0,-0.03,-0.11,0.99,0.99,-0.00,0.02,0.02,6.18,88.81,89.73
27.06,-0.55,7.14,6.00,-1.00,179.00,-0.2,0.1,0.0,-0.03,-0.11,0.99,1.00,-0.00,-0.00,0.00,6.18,88.81,89.73
27.18,-0.55,7.14,6.00,-1.00,179.00,0.0,0.1,0.0,-0.03,-0.10,1.00,1.00,-0.00,0.01,0.01,6.18,88.81,89.74
27.28,-0.55,7.14,6.00,-1.00,179.00,-0.1,-0.0,0.0,-0.03,-0.11,0.99,1.00,0.00,-0.00,0.00,6.18,88.81,89.74
27.42,-0.55,7.14,6.00,-1.00,179.00,0.2,0.1,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.02,0.02,6.18,88.81,89.74
27.51,-0.55,7.14,6.00,-1.00,179.00,0.0,0.1,0.0,-0.04,-0.11,0.99,1.00,-0.00,0.01,0.01,6.18,88.81,89.74
27.63,-0.55,7.14,6.00,-1.00,179.00,-0.0,0.1,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.00,0.00,6.18,88.81,89.74
27.73,-0.55,7.14,6.00,-1.00,179.00,0.0,0.1,0.0,-0.03,-0.10,0.99,1.00,-0.00,0.01,0.01,6.18,88.81,89.74
27.87,-0.55,7.14,6.00,-1.00,179.00,-0.2,0.0,0.0,-0.03,-0.11,1.00,1.00,-0.00,-0.01,0.01,6.18,88.81,89.74
28.00,-0.55,7.14,6.00,-1.00,179.00,-0.2,0.1,0.0,-0.03,-0.11,0.99,1.00,-0.00,-0.00,0.00,6.18,88.81,89.74
28.12,-0.55,7.14,6.00,-1.00,179.00,-0.0,0.1,0.0,-0.03,-0.11,1.00,1.00,-0.00,0.00,0.00,6.18,88.81,89.74
28.19,-0.55,7.14,6.00,-1.00,179.00,0.1,-0.0,0.0,-0.03,-0.11,0.99,1.00,0.00,0.01,0.01,6.18,88.81,89.74
28.31,-0.55,7.14,6.00,-1.00,179.00,0.1,0.3,0.0,-0.03,-0.10,0.98,0.99,-0.00,0.01,0.02,6.18,88.81,89.74
28.44,-0.55,7.15,6.00,-1.00,179.00,0.2,0.2,0.0,-0.03,-0.11,1.00,1.00,-0.00,0.02,0.02,6.18,88.82,89.74
28.57,-0.55,7.15,6.00,-1.00,179.00,0.1,0.1,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.01,0.01,6.18,88.82,89.74
28.67,-0.55,7.15,6.00,-1.00,179.00,-0.1,0.2,0.0,-0.03,-0.11,0.99,0.99,-0.00,-0.00,0.00,6.18,88.82,89.74
28.74,-0.55,7.15,6.00,-1.00,179.00,-0.0,0.1,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.00,0.00,6.18,88.82,89.74
28.87,-0.55,7.15,6.00,-1.00,179.00,-0.0,0.0,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.00,0.00,6.18,88.82,89.74
29.00,-0.55,7.15,6.00,-1.00,179.00,0.0,0.1,0.0,-0.03,-0.11,0.99,0.99,-0.00,0.01,0.01,6.18,88.82,89.74
29.09,-0.55,7.15,6.00,-1.00,179.00,0.0,-0.0,0.0,-0.03,-0.11,0.99,0.99,0.00,0.01,0.01,6.18,88.82,89.74
29.20,-0.55,7.15,6.00,-1.00,179.00,0.1,0.1,0.0,-0.02,-0.11,1.00,1.00,-0.00,0.01,0.01,6.18,88.82,89.75
29.31,-0.55,7.15,6.00,-1.00,179.00,-0.0,0.1,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.00,0.00,6.18,88.82,89.75
29.44,-0.55,7.15,6.00,-1.00,179.00,-0.0,0.1,0.0,-0.02,-0.11,0.99,1.00,-0.00,0.00,0.00,6.18,88.82,89.75
29.54,-0.55,7.15,6.00,-1.00,179.00,-0.0,0.3,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.00,0.00,6.18,88.82,89.75
29.66,-0.55,7.15,6.00,-1.00,179.00,0.0,0.1,0.0,-0.02,-0.11,0.99,1.00,-0.00,0.01,0.01,6.18,88.82,89.75
29.76,-0.55,7.15,6.00,-1.00,179.00,0.2,0.0,0.0,-0.03,-0.11,1.00,1.00,-0.00,0.02,0.02,6.18,88.82,89.75
29.89,-0.55,7.15,6.00,-1.00,179.00,-0.2,-0.0,0.0,-0.03,-0.11,1.00,1.00,0.00,-0.01,0.01,6.18,88.82,89.75
29.99,-0.55,7.15,6.00,-1.00,179.00,-0.1,0.1,0.0,-0.03,-0.11,1.00,1.00,-0.00,-0.00,0.00,6.18,88.82,89.75
30.11,-0.55,7.15,6.00,-1.00,179.00,-0.0,0.1,0.0,-0.03,-0.10,0.99,0.99,-0.00,0.00,0.00,6.18,88.82,89.75
30.21,-0.55,7.15,6.00,-1.00,179.00,0.2,0.2,0.0,-0.02,-0.11,0.99,1.00,-0.00,0.02,0.02,6.18,88.82,89.75
30.33,-0.55,7.15,6.00,-1.00,179.00,-0.1,-0.0,0.0,-0.02,-0.11,1.00,1.01,0.00,-0.00,0.00,6.18,88.82,89.75
30.44,-0.55,7.15,6.00,-1.00,179.00,0.1,0.1,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.01,0.01,6.18,88.82,89.75
30.56,-0.55,7.15,6.00,-1.00,179.00,0.2,0.3,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.02,0.02,6.18,88.82,89.75
30.66,-0.55,7.15,6.00,-1.00,179.00,0.0,-0.1,0.0,-0.03,-0.10,0.99,1.00,0.00,0.01,0.01,6.18,88.82,89.75
30.78,-0.55,7.15,6.00,-1.00,179.00,0.0,0.2,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.01,0.01,6.18,88.83,89.75
30.90,-0.55,7.15,6.00,-1.00,179.00,-0.0,0.2,0.0,-0.03,-0.10,0.99,0.99,-0.00,0.00,0.00,6.18,88.83,89.75
31.01,-0.55,7.16,6.00,-1.00,179.00,-0.1,-0.3,0.0,-0.03,-0.11,1.00,1.00,0.00,-0.00,0.01,6.18,88.83,89.75
31.11,-0.55,7.16,6.00,-1.00,179.00,-0.4,-0.0,0.0,-0.02,-0.11,1.00,1.01,0.00,-0.02,0.02,6.18,88.83,89.75
31.23,-0.55,7.16,6.00,-1.00,179.00,0.0,-0.0,0.0,-0.02,-0.11,0.99,1.00,0.00,0.01,0.01,6.18,88.83,89.75
31.35,-0.55,7.16,6.00,-1.00,179.00,-0.1,0.1,0.0,-0.02,-0.10,0.99,1.00,-0.00,-0.00,0.00,6.18,88.83,89.75
31.46,-0.55,7.16,6.00,-1.00,179.00,-0.1,0.0,0.0,-0.02,-0.11,0.99,1.00,-0.00,-0.00,0.00,6.18,88.83,89.75
31.56,-0.55,7.16,6.00,-1.00,179.00,-0.1,-0.1,0.0,-0.03,-0.11,0.99,1.00,0.00,-0.00,0.00,6.18,88.83,89.76
31.68,-0.55,7.16,6.00,-1.00,179.00,0.2,0.2,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.01,0.01,6.19,88.83,89.76
31.78,-0.55,7.16,6.00,-1.00,179.00,0.2,0.1,0.0,-0.03,-0.11,0.99,1.00,-0.00,0.02,0.02,6.19,88.83,89.76
